block,timestamp,time,aDAI_rate,aUSDC_rate,aWBTC_rate,aUSDT_rate,aTUSD_rate
11661345,1610734935,2021-01-15T18:22:15.000Z,1009905966310884052326971423,1009269033650302479751006363,1000977186185429672736174770,1011389319342621747365181816,1008931858811061375367088156
11667105,1610811865,2021-01-16T15:44:25.000Z,1010089766481127022461654130,1009449816058280102492507415,1000977890337068574303147659,1011678392454858780181037955,1009096082028167524320050040
11672865,1610888617,2021-01-17T13:03:37.000Z,1010323348006008681160732457,1009703344267330369615576486,1000979483762472739946346756,1011985165038907263992102400,1009273056032483150211039302
11678625,1610964827,2021-01-18T10:13:47.000Z,1010570924496272279776953253,1009955605004266828120667245,1000980401741242479861263642,1012284312624839092227081368,1009543039361339238351490924
11684385,1611041491,2021-01-19T07:31:31.000Z,1010754827266083505897707838,1010183505807094929667307473,1000984990309754062060159081,1012574108563722760838683753,1009914909882436111861915801
11690145,1611117559,2021-01-20T04:39:19.000Z,1010930635035121446392518681,1010434861021759443519150148,1000998262833314418961631250,1012989586076583575478839125,1010190001438709097757580155
11695905,1611193099,2021-01-21T01:38:19.000Z,1011156838524381904442287675,1010665893839513781039290423,1001010728323607124843853841,1013236416200944407199635533,1010438473287685649608002884
11701665,1611269864,2021-01-21T22:57:44.000Z,1011496940822405211147831742,1010896015574702857025937557,1001018354809301004129994502,1013432251789961890861466896,1010665653324725410715384920
11707425,1611347027,2021-01-22T20:23:47.000Z,1011731955788184850301186943,1011139672525632348203019007,1001024427909225262955354496,1013757485705942615928211553,1010855665559662589804397743
11713185,1611423048,2021-01-23T17:30:48.000Z,1012029758705692970024409977,1011351697553656405698904895,1001028892454304458022469063,1013979710793768089006532077,1011074373294562571936312821
11718945,1611499196,2021-01-24T14:39:56.000Z,1012319996020710661223852481,1011576969919958063469594047,1001034873048322883283710270,1014264911394160450310873847,1011252622800631070225607291
11724705,1611576004,2021-01-25T12:00:04.000Z,1012579146725646123715909271,1011842185178610136688691935,1001038706420755826963843738,1014585495634243154760492864,1011705911520757132555963569
11730465,1611653146,2021-01-26T09:25:46.000Z,1012811121990311986213163040,1012032045032569036688824649,1001039533675568780106696218,1014846420074175329575681241,1012029158751649192550992765
11736225,1611729288,2021-01-27T06:34:48.000Z,1012967890169047297283344114,1012172719883685825483630799,1001040374648750575525430688,1015046981148677276212692746,1012275715132833271642747735
11741985,1611805454,2021-01-28T03:44:14.000Z,1013129230584564620346861261,1012324108057215991207912324,1001041659680500287235227479,1015332339677514295950881133,1012751078770098916396573754
11747745,1611882622,2021-01-29T01:10:22.000Z,1013283660082340790505903319,1012458465526209972087763286,1001043727248824587918213530,1015611075859697113148308706,1013197944158538862386317214
11753505,1611959669,2021-01-29T22:34:29.000Z,1013419104956885673583117440,1012624955233847046036529977,1001045567993479843066726028,1015910342678322781874053215,1013523854641641707919973121
11759265,1612036472,2021-01-30T19:54:32.000Z,1013668634608637824280144151,1012838638328982370413749905,1001048432362407468118434223,1016142824746182583617290173,1013781126530623758459598377
11765025,1612112590,2021-01-31T17:03:10.000Z,1013945073078331871457622532,1013059402543316320622463257,1001051162217267390138962034,1016377057921026699878670337,1014047568914104456168371936
11770785,1612188814,2021-02-01T14:13:34.000Z,1014145419927966854607155142,1013227223991608036607119725,1001054176595897454447198770,1016560326639204738285632764,1014332463091863325666638140
11776545,1612265269,2021-02-02T11:27:49.000Z,1014425314160359154970164071,1013440926524705906296858011,1001056393810966811996565090,1016814246642559671017235884,1014710178996695426344632754
11782305,1612342161,2021-02-03T08:49:21.000Z,1014783660406715498007861177,1013801320284238353419903696,1001060396836447494657459296,1017165193603182715592492355,1014948192659823472594819160
11788065,1612419425,2021-02-04T06:17:05.000Z,1015072724804568711490990143,1014144767240081344825062279,1001064441175933501076026500,1017674528011792381224456076,1015223682647247584132775879
11793825,1612495300,2021-02-05T03:21:40.000Z,1015280073402033964425941392,1014435874946826708722697189,1001066467771517732005758715,1018152777605557824613215736,1015517078684421360072657371
11799585,1612572644,2021-02-06T00:50:44.000Z,1015555901734840953694640626,1014713488873672984663958245,1001069494601003508606376740,1018455625942153198172831645,1016071117253154015599392630
11805345,1612649075,2021-02-06T22:04:35.000Z,1015758817305933437772436518,1014931054824799059727848042,1001073013553436588821558890,1018650409351876750324396873,1016658287285571861860122885
11811105,1612724978,2021-02-07T19:09:38.000Z,1015914568251605445767076478,1015070924868867300217098616,1001077123836651732364100873,1018791775230029549588741728,1016949478904488035509765402
11816865,1612801300,2021-02-08T16:21:40.000Z,1016105017455326853781761649,1015332763741210849709152813,1001080476280884626465936663,1019043852517965648234543448,1017421201390487119594856963
11822625,1612878609,2021-02-09T13:50:09.000Z,1016384558061597021410585111,1015856549283486786943185214,1001081822818185979341736656,1019501835427271683586008346,1017812136678984438407090831
11828385,1612955080,2021-02-10T11:04:40.000Z,1016681291898369098980259584,1016358687228555313954796008,1001083262837980649338838161,1019983445562407911554696398,1018122683568577616377296960
11834145,1613031741,2021-02-11T08:22:21.000Z,1017039570061209034649650403,1016801261244172261409408456,1001086878652336087540929980,1020410547771001954018054343,1018369213069864634700298153
11839905,1613107846,2021-02-12T05:30:46.000Z,1017330458011133467704769918,1017241983657097382394636420,1001088844051061904532461944,1020812033964268673243202865,1018686448923159415959945224
11845665,1613183647,2021-02-13T02:34:07.000Z,1017534984040256338781624037,1017554894531293263644852277,1001090277100294887692717234,1021063151090944609200941217,1019074556087657527636138175
11851425,1613261236,2021-02-14T00:07:16.000Z,1017715869181932311405345419,1017889619670792183629017528,1001091919148584717097655698,1021298107130768256778138885,1019402606269506943563223203
11857185,1613337271,2021-02-14T21:14:31.000Z,1018025219812424341354887834,1018123165750314664196269604,1001093506416343988423268610,1021528920320986240872870827,1019703530036855090951499899
11862945,1613413227,2021-02-15T18:20:27.000Z,1018456486021970577022461290,1018371246662285955069780166,1001095022822403676086466086,1021779398849094178591894618,1020036605275046619876340932
11868705,1613489882,2021-02-16T15:38:02.000Z,1018866460792849455063384166,1018737469845979524496335375,1001096396270650190963334537,1022108531926557889067367592,1020490208130029777769722566
11874465,1613566356,2021-02-17T12:52:36.000Z,1019160100677622002333221952,1019044285569206036390793411,1001097983814110779098165586,1022383142580705986991632665,1020821600170452735888928051
11880225,1613643471,2021-02-18T10:17:51.000Z,1019442669664188695348704901,1019435344136792400793664796,1001099489440947755273894283,1022773960263868606390896808,1021055020358053460330390097
11885985,1613719965,2021-02-19T07:32:45.000Z,1019802350424577824846025241,1019777743511119860320466750,1001101419753167378532745518,1023024475351792171170207124,1021245169963691217872046638
11891745,1613796077,2021-02-20T04:41:17.000Z,1020117149670126752688676392,1020017231049830471875995626,1001103491686292411431388196,1023342766355700069702465852,1021615286415433112697128749
11897505,1613872727,2021-02-21T01:58:47.000Z,1020327444822081558290250117,1020271707035346770497810901,1001105830548806411488895709,1023626137614255453666349103,1022202018589496582878154990
11903265,1613949289,2021-02-21T23:14:49.000Z,1020505762367212112712678804,1020489466577829386815101870,1001107414728598611154632144,1023914048520922860743585664,1022738240802449413216134145
11909025,1614025876,2021-02-22T20:31:16.000Z,1020702721526608031046035310,1020685348503180504533173862,1001109454898829429622962543,1024181756513372979877971561,1023156506862865792634637021
11914785,1614102195,2021-02-23T17:43:15.000Z,1020931480186166643988291575,1020864004938758869804481075,1001111805562994923512682017,1024330657270473669347113721,1023472199258440694998571152
11920545,1614178876,2021-02-24T15:01:16.000Z,1021077312317118181616273088,1021040045413557335079955791,1001113349952404466491745653,1024538923535794506610146275,1023731659518595255952397321
11926305,1614255556,2021-02-25T12:19:16.000Z,1021277332025036221192507948,1021272709180244994159312572,1001114864391490202080848233,1024922732238953705169930087,1023980386515745126134651143
11932065,1614332362,2021-02-26T09:39:22.000Z,1021496267437850493089625843,1021488153480905955217818719,1001117552789904375944577464,1025232818458596319334347451,1024281891475866966181980438
11937825,1614408427,2021-02-27T06:47:07.000Z,1021691855481777241655587317,1021628504819279079176803818,1001118468396118296169420431,1025380915452963448583086432,1024482664298405448301204165
11943585,1614484911,2021-02-28T04:01:51.000Z,1021882325620096126598212234,1021787161364813721386449259,1001119796011928741805219351,1025528567989261134327211534,1024671100562334107421710733
11949345,1614561847,2021-03-01T01:24:07.000Z,1022110309221403350298999172,1021928559690592750211864252,1001122971505085286247378339,1025690661227024864606566095,1024791417668825304197317646
11955105,1614638633,2021-03-01T22:43:53.000Z,1022374899771715588074910504,1022069213096615551586825815,1001124474773733418207999948,1025909326563739462587816370,1024953189974502738645959718
11960865,1614714959,2021-03-02T19:55:59.000Z,1022589343105950604092263260,1022221467848407916973058047,1001125166869391265586110588,1026066563377793690186902408,1025122028454798723750488558
11966625,1614791757,2021-03-03T17:15:57.000Z,1022769858243364436993189854,1022414601273374631203154650,1001126058515625937300727396,1026268751395397883447682301,1025301464795844363105453098
11972385,1614868801,2021-03-04T14:40:01.000Z,1023009203856917869191751278,1022618380820454733441896582,1001127251162082935935756335,1026513876730886829785821015,1025472322706954944367467159
11978145,1614945473,2021-03-05T11:57:53.000Z,1023202482359425036292721064,1022760150905090212996771777,1001128968870103312831451428,1026664974773579209720383616,1025634518056181007069212891
11983905,1615021062,2021-03-06T08:57:42.000Z,1023378809045429423863025885,1022896815804589553839418599,1001129829046881890680838941,1026801108717981796750244320,1025799489508836285323645892
11989665,1615097848,2021-03-07T06:17:28.000Z,1023546068467315431724408378,1023038421531251329507156594,1001131113346045107701462495,1026971454429282552594915267,1025940226679875978464772577
11995425,1615174127,2021-03-08T03:28:47.000Z,1023684536867905565838148719,1023466180467300917464600466,1001132656914346334321436567,1027183233048613039189154601,1026094238173262667243535051
12001185,1615251029,2021-03-09T00:50:29.000Z,1023882339629529230454679069,1023824370871426696135173924,1001133271742656732264100221,1027386420822324902960220807,1026274666157742288886882250
12006945,1615328045,2021-03-09T22:14:05.000Z,1024171151769837130442589684,1024177172288802330314513342,1001134122585921196385685244,1027599748882024955590084823,1026484224222681517814611058
